Common Population Name,NMFS_POPID,ESU,Species,Start Year,Year,Spawners
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2004,12928
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2003,12912
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2002,13293
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2001,11274
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2000,8741
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1999,2417
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1998,5173
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1997,8168
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1996,13077
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1995,9715
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1994,8456
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1993,6462
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1992,5508
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1991,8787
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1990,15378
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1989,20058
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1988,11165
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1987,12210
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1986,10472
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1985,7491
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1984,7132
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1983,13540
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1982,8370
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1981,19297
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1980,13839
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1979,8023
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1978,5363
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1977,6930
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1976,3371
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1975,13859
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1974,7549
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1973,9120
