"","X","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","years","Location.2","Length","Sex","Lat","Long","State","Museum","N.quantity..ug.","d15N","C.quantity..ug.","d13C","Year","d13C.s","TP.GLU","TP.ALA","TP.ASP","TP.VAL","TP.PRO","TPmean"
"36",36,"BM_82685",13.13634542,22.70120162,19.27534526,NA,26.25033796,11.95434708,27.51280504,NA,-28.63511426,22.26661082,28.64033333,13.79638889,2012,"Inland",99,"",47.097241,-122.705579,"WA","UWBM",42.329,18.71,119.5172,-13.3727,2013,-14.514153043817,4.27310767438017,5.84143214318182,4.4839838409836,2.62469742758621,3.22013627539267,4.08867147230489
"37",37,"NM_1905",13.96204618,21.7128656,22.30162937,NA,23.44931912,14.86308703,27.43935642,NA,-3.757355832,15.41252575,28.33,11.95966667,1999,"Inland",170,"M",47.2179,-122.6599,"WA","NMML",46.6683,18.211,128.8501,-10.1656,2000,-10.9691643986362,3.41049114586777,4.65533441647727,3.6284379397541,2.22478708295019,2.67366193010471,3.31854250303081
"38",38,"NM_1915",12.57270807,23.1850262,29.9850612,NA,17.41070371,13.47608296,27.10269553,NA,-25.08732697,16.22011501,27.51466667,9.738,1996,"Inland",149,"M",47.2179,-122.6599,"WA","NMML",44.7853,17.8098,127.1254,-10.5641,1997,-11.3051420190918,3.71430942107438,5.07308454488636,3.92976590122951,2.36563770095785,2.8661331934555,3.58978615232072
"39",39,"NM_1917",9.904899275,22.61466976,24.9898119,NA,23.6131079,5.885112429,27.99969079,NA,-15.03551084,15.52627665,15.54,10.979,1998,"Inland",145,"F",47.2179,-122.6599,"WA","NMML",46.7206,17.8737,128.4568,-9.9073,1999,-10.6894584407013,6.16950613747934,8.44898002994318,6.36483805438524,3.50387066143678,4.42151959494764,5.78174289563844
"40",40,"NM_1918",NA,22.40930304,23.71300585,NA,NA,12.58214229,26.76421781,NA,-20.91555842,16.1334027,24.32766667,16.86511111,1998,"Inland",145,"F",47.2179,-122.6599,"WA","NMML",49.4471,18.2801,137.9539,-10.3121,1999,-11.0942584407013,3.87498052231405,5.29400730909091,4.08912002622951,2.4401250697318,2.96791959790576,3.7332305050544
"41",41,"NM_1919",10.58291244,23.64536471,21.88845367,NA,25.65577709,11.90905669,26.32995522,NA,-14.98416015,15.94113159,27.53333333,11.63666667,1998,"Inland",154,"M",47.2179,-122.6599,"WA","NMML",49.1669,17.9926,135.6992,-10.5249,1999,-11.3070584407013,3.94406155826446,5.38899373352272,4.15763482418033,2.47215114386973,3.01168297670157,3.79490484730776
"42",42,"NM_1984",14.42042447,22.70808279,22.3746653,NA,23.20179407,11.158561,29.75858825,NA,-28.96395404,17.7660232,24.83833333,34.786,1991,"Coastal",148,"M",46.23055556,-123.866666,"WA","NMML",46.416,17.8156,131.1326,-12.966,1992,-13.61346020331,5.15290044421488,7.05114720170454,5.35656519467213,3.03257070402299,3.77749190445026,4.87413508981296
"43",43,"NM_1995",12.39021793,25.18517466,22.64190475,NA,23.77120336,13.26905558,27.95266015,NA,-5.835747928,15.14351517,30.85666667,10.19066667,1991,"Coastal",170,"F",NA,NA,"WA","NMML",48.5963,17.6423,135.0241,-13.1746,1992,-13.82206020331,4.02005090867769,5.49347909034091,4.23300131106557,2.50737992318008,3.05982282696335,3.86274681204552
"44",44,"NM_2001",13.21372114,21.27546016,24.72562541,NA,24.02788956,10.29911985,28.29345852,NA,-21.6036817,20.79241881,16.502,9.665666667,1991,"Coastal",155,"F",46.1331,-123.5713,"WA","NMML",48.5421,16.7595,133.0124,-14.0639,1992,-14.71136020331,4.97770126818182,6.81024833465909,5.18280207745901,2.95134809750958,3.66650185052356,4.71772032566661
"45",45,"NM_2016",NA,24.13070574,27.55959858,NA,NA,12.03476673,29.22332031,NA,-27.48700947,17.66229544,27.37266667,11.93416667,1991,"Coastal",159,"M",46.398712,-124.062234,"WA","NMML",46.9528,17.2948,130.8645,-13.4448,1992,-14.09226020331,4.74462293636364,6.48976562840909,4.95163422377049,2.8432926256705,3.51884489685864,4.50963206221447
"46",46,"NM_2024",NA,22.35456077,24.32785191,NA,NA,10.7354811,26.86648645,NA,-26.80441624,15.74841065,26.86333333,42.17933333,1992,"Coastal",156,"F",NA,NA,"WA","NMML",46.6982,17.0014,130.3131,-14.0446,1993,-14.7097797664514,4.43872055578513,6.06914985511363,4.6482392397541,2.70147581321839,3.32505333638743,4.23652776005174
"47",47,"NM_2025",7.287780522,19.42858615,19.98022396,NA,23.80688443,10.65287416,26.54270611,NA,-19.90632046,15.89787074,22.41333333,5.103,1992,"Coastal",157,"F",46.794664,-124.098201,"WA","NMML",44.9364,16.3401,123.1058,-14.9391,1993,-15.6042797664514,4.36895965495868,5.97322861647727,4.57905014959016,2.66913455268199,3.2808592578534,4.1742464463123
"48",48,"NM_2027",13.1606361,23.87848372,19.69618014,NA,23.67760235,10.98269079,26.76479722,NA,-12.91114002,15.26417126,28.513,9.097,1992,"Coastal",168,"M",46.625299,-123.957213,"WA","NMML",48.8018,17.4521,135.7254,-13.3855,1993,-14.0506797664514,4.33779938057851,5.93038323920454,4.54814528729508,2.65468860172414,3.26111897931937,4.14642709762433
"49",49,"NM_2028",13.16313595,21.703254,24.96493946,NA,24.51272247,8.865713588,27.26719575,NA,-27.00534665,19.93181039,19.19166667,9.511333333,1992,"Coastal",165,"M",46.745916,-124.095354,"WA","NMML",46.8514,17.7579,130.2305,-12.1156,1993,-12.7807797664514,5.09547004685951,6.97218040534091,5.29960553827869,3.0059458837931,3.74110929670157,4.82286223419475
"50",50,"NM_2032",13.00539347,24.02509236,25.12977435,NA,23.85571066,11.26091541,26.69066548,NA,-15.91735568,15.80330958,27.229,10.144,1992,"Coastal",148,"M",46.265153,-123.966564,"WA","NMML",45.4652,17.2414,127.6069,-13.1559,1993,-13.8210797664514,4.23587811942149,5.79024150511363,4.44705944631147,2.60743774885057,3.19655105994764,4.05543357592896
"51",51,"NM_2044",12.81956346,23.63175429,23.8133038,NA,25.07447506,10.81203959,26.54975115,NA,-27.37281986,18.40465283,19.56933333,10.046,1981,"Coastal",158,"M",46.4175,-123.5002778,"WA","NMML",42.0802,17.9678,118.4463,-13.3601,1982,-13.854357842606,4.3249578892562,5.91272618863636,4.53540905409836,2.64873526666667,3.25298379371728,4.13496243847497
"52",52,"NM_2045",12.27932858,20.76659044,26.28268443,NA,24.76978309,13.2075799,30.1020194,NA,-4.306246134,16.90561254,25.67766667,20.64266667,1981,"Coastal",167,"M",46.176001,-123.982239,"WA","NMML",41.0026,17.6852,118.5012,-13.4284,1982,-13.922657842606,4.65954861570248,6.3727884375,4.86725723360655,2.80385204022988,3.46494964659686,4.43367919472715
"53",53,"NM_2048",11.72061858,23.92904808,27.10039527,NA,24.97109128,9.852350448,29.46098859,NA,-35.36649959,17.65777017,23.208,8.628333333,1981,"Coastal",159,"F",46.0511111,-123.9188889,"WA","NMML",46.3842,17.3541,130.4872,-13.9664,1982,-14.460657842606,5.44464739644628,7.45229926102272,5.64592077844262,3.16782503819923,3.96231588989529,5.13460167280123
"54",54,"NM_2050",13.94625469,25.28391198,24.08562673,NA,23.82141483,14.39043195,29.49715648,NA,-9.01291035,17.88143765,29.984,14.74633333,1981,"Coastal",165,"M",46.207228,-123.955586,"WA","NMML",47.8911,17.923,134.4329,-13.2173,1982,-13.711557842606,4.14244097975207,5.66176543806818,4.35438818483606,2.56412014770115,3.13735789816754,3.972014529705
"55",55,"NM_2062",12.23577579,24.20212421,23.26671932,NA,25.41134425,12.91273121,29.9970903,NA,-1.262474654,20.27130465,27.23966667,10.20233333,1982,"Coastal",154,"M",46.2437222,-123.7333333,"WA","NMML",46.0641,18.3572,129.0832,-12.6153,1983,-13.1230845937567,4.71448403429752,6.44832463806818,4.92174236188524,2.82932018448276,3.49975166570681,4.4827245768881
"56",56,"NM_2064",11.19225941,23.38537392,26.94213138,NA,25.88728835,12.83990823,29.71810562,NA,-34.02342282,18.79167042,27.54333333,8.682333333,1982,"Coastal",146,"M",46.16805556,-123.9352778,"WA","NMML",47.2122,18.1152,131.3377,-12.6263,1983,-13.1340845937567,4.65485048471074,6.36632850738636,4.86259761188524,2.80167397950192,3.46197334371728,4.42948478544031
