Year,Month,Discharge
1962,10,108600
1962,11,115700
1962,12,137600
1963,1,126800
1963,2,163600
1963,3,129800
1963,4,167500
1963,5,259500
1963,6,392700
1963,7,250200
1963,8,138900
1963,9,100400
1963,10,91720
1963,11,90720
1963,12,95100
1964,1,93160
1964,2,107800
1964,3,105300
1964,4,139000
1964,5,289000
1964,6,576800
1964,7,354600
1964,8,162400
1964,9,105500
1964,10,121000
1964,11,107700
1964,12,165900
1965,1,172800
1965,2,234600
1965,3,184500
1965,4,245000
1965,5,402800
1965,6,486100
1965,7,292400
1965,8,167800
1965,9,115700
1965,10,107400
1965,11,107500
1965,12,114300
1966,1,117400
1966,2,122000
1966,3,129800
1966,4,149800
1966,5,261900
1966,6,336900
1966,7,260100
1966,8,135900
1966,9,98960
1966,10,96530
1966,11,99350
1966,12,116300
1967,1,126400
1967,2,131100
1967,3,136200
1967,4,146200
1967,5,253900
1967,6,578100
1967,7,347500
1967,8,154900
1967,9,108500
1967,10,108000
1967,11,113800
1967,12,132500
1968,1,124700
1968,2,148900
1968,3,165900
1968,4,122400
1968,5,195800
1968,6,357500
1968,7,256800
1968,8,139500
1968,9,123200
1968,10,117600
1968,11,129200
1968,12,142300
1969,1,176000
1969,2,173600
1969,3,187000
1969,4,344300
1969,5,400500
1969,6,339100
1969,7,236500
1969,8,122600
1969,9,100900
1969,10,115000
1969,11,122900
1969,12,127200
1970,1,158500
1970,2,146200
1970,3,147800
1970,4,150900
1970,5,267600
1970,6,342600
1970,7,182000
1970,8,128200
1970,9,108800
1970,10,113600
1970,11,118800
1970,12,128200
1971,1,158100
1971,2,194500
1971,3,216100
1971,4,254000
1971,5,487000
1971,6,490800
1971,7,284900
1971,8,161300
1971,9,108100
1971,10,116100
1971,11,127700
1971,12,146100
1972,1,156500
1972,2,187900
1972,3,330500
1972,4,291000
1972,5,402300
1972,6,569400
1972,7,294700
1972,8,180800
1972,9,127300
1972,10,121000
1972,11,126700
1972,12,153200
1973,1,150500
1973,2,137800
1973,3,149200
1973,4,139900
1973,5,148500
1973,6,143700
1973,7,132600
1973,8,128100
1973,9,101600
1973,10,111400
1973,11,118800
1973,12,168200
1974,1,252600
1974,2,236900
1974,3,227100
1974,4,309700
1974,5,352300
1974,6,481300
1974,7,295300
1974,8,167600
1974,9,134700
1974,10,130100
1974,11,131700
1974,12,136300
1975,1,159800
1975,2,179200
1975,3,217300
1975,4,210300
1975,5,308900
1975,6,328400
1975,7,200800
1975,8,131000
1975,9,110600
1975,10,118000
1975,11,148600
1975,12,199300
1976,1,201700
1976,2,216400
1976,3,222200
1976,4,266900
1976,5,357600
1976,6,292100
1976,7,235900
1976,8,223100
1976,9,160800
1976,10,141400
1976,11,133300
1976,12,132600
1977,1,145600
1977,2,124100
1977,3,122900
1977,4,103900
1977,5,136100
1977,6,123700
1977,7,88600
1977,8,93720
1977,9,99010
1977,10,95030
1977,11,116900
1977,12,156200
1978,1,165900
1978,2,167600
1978,3,177400
1978,4,232600
1978,5,259100
1978,6,236900
1978,7,178300
1978,8,123800
1978,9,137600
1978,10,129300
1978,11,141400
1978,12,143000
1979,1,161200
1979,2,160700
1979,3,165400
1979,4,179300
1979,5,245000
1979,6,174600
1979,7,122900
1979,8,109700
1979,9,97550
1979,10,108400
1979,11,134600
1979,12,137100
1980,1,159700
1980,2,144100
1980,3,143000
1980,4,155900
1980,5,258600
1980,6,283400
1980,7,160200
1980,8,117700
1980,9,106200
1980,10,105800
1980,11,128600
1980,12,174400
1981,1,209500
1981,2,200800
1981,3,159300
1981,4,159900
1981,5,238900
1981,6,366300
1981,7,230400
1981,8,162300
1981,9,114600
1981,10,124500
1981,11,124400
1981,12,162100
1982,1,181300
1982,2,242300
1982,3,321000
1982,4,285500
1982,5,352600
1982,6,381000
1982,7,285400
1982,8,161600
1982,9,126500
1982,10,127900
1982,11,149600
1982,12,157000
1983,1,192500
1983,2,237400
1983,3,345000
1983,4,274800
1983,5,321600
1983,6,294700
1983,7,211000
1983,8,166800
1983,9,122500
1983,10,117400
1983,11,148900
1983,12,188000
1984,1,200000
1984,2,215600
1984,3,228500
1984,4,288700
1984,5,326300
1984,6,361200
1984,7,206600
1984,8,140500
1984,9,119200
1984,10,129400
1984,11,141000
1984,12,161000
1985,1,205500
1985,2,206100
1985,3,176900
1985,4,212100
1985,5,242900
1985,6,192900
1985,7,113800
1985,8,96360
1985,9,106500
1985,10,127800
1985,11,159700
1985,12,169400
1986,1,132400
1986,2,204600
1986,3,289900
1986,4,268800
1986,5,271900
1986,6,264100
1986,7,152500
1986,8,126600
1986,9,116100
1986,10,124700
1986,11,144300
1986,12,152800
1987,1,167800
1987,2,144200
1987,3,138400
1987,4,150700
1987,5,235700
1987,6,152200
1987,7,112900
1987,8,107800
1987,9,108600
1987,10,124000
1987,11,113200
1987,12,148500
1988,1,154600
1988,2,137500
1988,3,127600
1988,4,135600
1988,5,197200
1988,6,169200
1988,7,107200
1988,8,102300
1988,9,112500
1988,10,111800
1988,11,133600
1988,12,161900
1989,1,165400
1989,2,152900
1989,3,164400
1989,4,204500
1989,5,265800
1989,6,196900
1989,7,110100
1989,8,95320
1989,9,108800
1989,10,116400
1989,11,135400
1989,12,143300
1990,1,160300
1990,2,180800
1990,3,193600
1990,4,215200
1990,5,228700
1990,6,316400
1990,7,182200
1990,8,143000
1990,9,111500
1990,10,113500
1990,11,163700
1990,12,206800
1991,1,208000
1991,2,203900
1991,3,222200
1991,4,236700
1991,5,296800
1991,6,292800
1991,7,209600
1991,8,164200
1991,9,123300
1991,10,124600
1991,11,137800
1991,12,141100
1992,1,151100
1992,2,134700
1992,3,156600
1992,4,149800
1992,5,210400
1992,6,187600
1992,7,122900
1992,8,107400
1992,9,96700
1992,10,95540
1992,11,113300
1992,12,142400
1993,1,146400
1993,2,133900
1993,3,145100
1993,4,157300
1993,5,302800
1993,6,229000
1993,7,168700
1993,8,121800
1993,9,104000
1993,10,103100
1993,11,114100
1993,12,116300
1994,1,117800
1994,2,143000
1994,3,129600
1994,4,149600
1994,5,209400
1994,6,192500
1994,7,150400
1994,8,91970
1994,9,75760
1994,10,93540
1994,11,108200
1994,12,122600
1995,1,144300
1995,2,191000
1995,3,181600
1995,4,181100
1995,5,261900
1995,6,280600
1995,7,198400
1995,8,141400
1995,9,104400
1995,10,124500
1995,11,163300
1995,12,258300
1996,1,249100
1996,2,340400
1996,3,309200
1996,4,320600
1996,5,341900
1996,6,377700
1996,7,236500
1996,8,179000
1996,9,127200
1996,10,129200
1996,11,134100
1996,12,186300
1997,1,275000
1997,2,278600
1997,3,282400
1997,4,326900
1997,5,458000
1997,6,487000
1997,7,266800
1997,8,194600
1997,9,148600
1997,10,167000
1997,11,150200
1997,12,176500
1998,1,169200
1998,2,203200
1998,3,189500
1998,4,170400
1998,5,336100
1998,6,305500
1998,7,202100
1998,8,148300
1998,9,115200
1998,10,105100
1998,11,117300
1998,12,157500
1999,1,217900
1999,2,226500
1999,3,262300
1999,4,261600
1999,5,296500
1999,6,342700
1999,7,251000
1999,8,205600
1999,9,141500
1999,10,128000
1999,11,149900
1999,12,200100
2000,1,200700
2000,2,190200
2000,3,187900
2000,4,273100
2000,5,260400
2000,6,209300
2000,7,168100
2000,8,142700
2000,9,115200
2000,10,110000
2000,11,127500
2000,12,143400
2001,1,129900
2001,2,125900
2001,3,119400
