time,Month,Year,MEI
2/1/89 0:00,2,1989,-1.241
3/1/89 0:00,3,1989,-1.035
4/1/89 0:00,4,1989,-0.76
5/1/89 0:00,5,1989,-0.393
6/1/89 0:00,6,1989,-0.242
7/1/89 0:00,7,1989,-0.43
8/1/89 0:00,8,1989,-0.494
9/1/89 0:00,9,1989,-0.315
10/1/89 0:00,10,1989,-0.342
11/1/89 0:00,11,1989,-0.073
12/1/89 0:00,12,1989,0.131
1/1/90 0:00,1,1990,0.243
2/1/90 0:00,2,1990,0.573
3/1/90 0:00,3,1990,0.951
4/1/90 0:00,4,1990,0.46
5/1/90 0:00,5,1990,0.652
6/1/90 0:00,6,1990,0.511
7/1/90 0:00,7,1990,0.147
8/1/90 0:00,8,1990,0.127
9/1/90 0:00,9,1990,0.366
10/1/90 0:00,10,1990,0.273
11/1/90 0:00,11,1990,0.383
12/1/90 0:00,12,1990,0.362
1/1/91 0:00,1,1991,0.319
2/1/91 0:00,2,1991,0.323
3/1/91 0:00,3,1991,0.399
4/1/91 0:00,4,1991,0.449
5/1/91 0:00,5,1991,0.741
6/1/91 0:00,6,1991,1.051
7/1/91 0:00,7,1991,1.044
8/1/91 0:00,8,1991,1.008
9/1/91 0:00,9,1991,0.739
10/1/91 0:00,10,1991,0.99
11/1/91 0:00,11,1991,1.172
12/1/91 0:00,12,1991,1.34
1/1/92 0:00,1,1992,1.747
2/1/92 0:00,2,1992,1.886
3/1/92 0:00,3,1992,1.985
4/1/92 0:00,4,1992,2.247
5/1/92 0:00,5,1992,2.085
6/1/92 0:00,6,1992,1.735
7/1/92 0:00,7,1992,1.045
8/1/92 0:00,8,1992,0.559
9/1/92 0:00,9,1992,0.488
10/1/92 0:00,10,1992,0.624
11/1/92 0:00,11,1992,0.569
12/1/92 0:00,12,1992,0.664
1/1/93 0:00,1,1993,0.692
2/1/93 0:00,2,1993,0.99
3/1/93 0:00,3,1993,0.987
4/1/93 0:00,4,1993,1.408
5/1/93 0:00,5,1993,1.993
6/1/93 0:00,6,1993,1.616
7/1/93 0:00,7,1993,1.204
8/1/93 0:00,8,1993,1.026
9/1/93 0:00,9,1993,0.966
10/1/93 0:00,10,1993,1.045
11/1/93 0:00,11,1993,0.822
12/1/93 0:00,12,1993,0.595
1/1/94 0:00,1,1994,0.352
2/1/94 0:00,2,1994,0.193
3/1/94 0:00,3,1994,0.159
4/1/94 0:00,4,1994,0.465
5/1/94 0:00,5,1994,0.58
6/1/94 0:00,6,1994,0.803
7/1/94 0:00,7,1994,0.904
8/1/94 0:00,8,1994,0.762
9/1/94 0:00,9,1994,0.893
10/1/94 0:00,10,1994,1.389
11/1/94 0:00,11,1994,1.282
12/1/94 0:00,12,1994,1.251
1/1/95 0:00,1,1995,1.219
2/1/95 0:00,2,1995,0.959
3/1/95 0:00,3,1995,0.845
4/1/95 0:00,4,1995,0.453
5/1/95 0:00,5,1995,0.57
6/1/95 0:00,6,1995,0.507
7/1/95 0:00,7,1995,0.234
8/1/95 0:00,8,1995,-0.147
9/1/95 0:00,9,1995,-0.445
10/1/95 0:00,10,1995,-0.481
11/1/95 0:00,11,1995,-0.474
12/1/95 0:00,12,1995,-0.537
1/1/96 0:00,1,1996,-0.597
2/1/96 0:00,2,1996,-0.566
3/1/96 0:00,3,1996,-0.236
4/1/96 0:00,4,1996,-0.391
5/1/96 0:00,5,1996,-0.041
6/1/96 0:00,6,1996,0.087
7/1/96 0:00,7,1996,-0.173
8/1/96 0:00,8,1996,-0.374
9/1/96 0:00,9,1996,-0.457
10/1/96 0:00,10,1996,-0.359
11/1/96 0:00,11,1996,-0.149
12/1/96 0:00,12,1996,-0.325
1/1/97 0:00,1,1997,-0.48
2/1/97 0:00,2,1997,-0.605
3/1/97 0:00,3,1997,-0.248
4/1/97 0:00,4,1997,0.527
5/1/97 0:00,5,1997,1.132
6/1/97 0:00,6,1997,2.275
7/1/97 0:00,7,1997,2.825
8/1/97 0:00,8,1997,3.002
9/1/97 0:00,9,1997,2.99
10/1/97 0:00,10,1997,2.361
11/1/97 0:00,11,1997,2.516
12/1/97 0:00,12,1997,2.344
1/1/98 0:00,1,1998,2.455
2/1/98 0:00,2,1998,2.777
3/1/98 0:00,3,1998,2.751
4/1/98 0:00,4,1998,2.658
5/1/98 0:00,5,1998,2.206
6/1/98 0:00,6,1998,1.336
7/1/98 0:00,7,1998,0.392
8/1/98 0:00,8,1998,-0.336
9/1/98 0:00,9,1998,-0.636
10/1/98 0:00,10,1998,-0.808
11/1/98 0:00,11,1998,-1.071
12/1/98 0:00,12,1998,-0.908
1/1/99 0:00,1,1999,-1.039
2/1/99 0:00,2,1999,-1.123
3/1/99 0:00,3,1999,-0.95
4/1/99 0:00,4,1999,-0.88
5/1/99 0:00,5,1999,-0.596
6/1/99 0:00,6,1999,-0.339
7/1/99 0:00,7,1999,-0.478
8/1/99 0:00,8,1999,-0.739
9/1/99 0:00,9,1999,-0.967
10/1/99 0:00,10,1999,-0.97
11/1/99 0:00,11,1999,-1.041
12/1/99 0:00,12,1999,-1.142
1/1/00 0:00,1,2000,-1.122
2/1/00 0:00,2,2000,-1.189
3/1/00 0:00,3,2000,-1.09
4/1/00 0:00,4,2000,-0.397
5/1/00 0:00,5,2000,0.251
6/1/00 0:00,6,2000,0.001
7/1/00 0:00,7,2000,-0.159
8/1/00 0:00,8,2000,-0.145
9/1/00 0:00,9,2000,-0.238
10/1/00 0:00,10,2000,-0.391
11/1/00 0:00,11,2000,-0.713
12/1/00 0:00,12,2000,-0.55
1/1/01 0:00,1,2001,-0.496
2/1/01 0:00,2,2001,-0.649
3/1/01 0:00,3,2001,-0.548
4/1/01 0:00,4,2001,-0.05
5/1/01 0:00,5,2001,0.282
6/1/01 0:00,6,2001,0.052
7/1/01 0:00,7,2001,0.297
8/1/01 0:00,8,2001,0.332
9/1/01 0:00,9,2001,-0.174
10/1/01 0:00,10,2001,-0.276
11/1/01 0:00,11,2001,-0.151
12/1/01 0:00,12,2001,0.033
1/1/02 0:00,1,2002,0.017
2/1/02 0:00,2,2002,-0.16
3/1/02 0:00,3,2002,-0.118
4/1/02 0:00,4,2002,0.401
5/1/02 0:00,5,2002,0.886
6/1/02 0:00,6,2002,0.932
7/1/02 0:00,7,2002,0.712
8/1/02 0:00,8,2002,1.002
9/1/02 0:00,9,2002,0.881
10/1/02 0:00,10,2002,0.979
11/1/02 0:00,11,2002,1.076
12/1/02 0:00,12,2002,1.156
1/1/03 0:00,1,2003,1.214
2/1/03 0:00,2,2003,0.944
3/1/03 0:00,3,2003,0.83
4/1/03 0:00,4,2003,0.413
5/1/03 0:00,5,2003,0.214
6/1/03 0:00,6,2003,0.107
7/1/03 0:00,7,2003,0.177
8/1/03 0:00,8,2003,0.309
9/1/03 0:00,9,2003,0.46
10/1/03 0:00,10,2003,0.497
11/1/03 0:00,11,2003,0.563
12/1/03 0:00,12,2003,0.362
1/1/04 0:00,1,2004,0.332
2/1/04 0:00,2,2004,0.37
3/1/04 0:00,3,2004,-0.036
4/1/04 0:00,4,2004,0.358
5/1/04 0:00,5,2004,0.558
6/1/04 0:00,6,2004,0.315
7/1/04 0:00,7,2004,0.571
8/1/04 0:00,8,2004,0.617
9/1/04 0:00,9,2004,0.558
10/1/04 0:00,10,2004,0.492
11/1/04 0:00,11,2004,0.794
12/1/04 0:00,12,2004,0.684
1/1/05 0:00,1,2005,0.325
2/1/05 0:00,2,2005,0.816
3/1/05 0:00,3,2005,1.057
4/1/05 0:00,4,2005,0.626
5/1/05 0:00,5,2005,0.885
6/1/05 0:00,6,2005,0.589
7/1/05 0:00,7,2005,0.519
8/1/05 0:00,8,2005,0.343
9/1/05 0:00,9,2005,0.296
10/1/05 0:00,10,2005,-0.179
11/1/05 0:00,11,2005,-0.385
12/1/05 0:00,12,2005,-0.55
1/1/06 0:00,1,2006,-0.428
2/1/06 0:00,2,2006,-0.414
3/1/06 0:00,3,2006,-0.521
4/1/06 0:00,4,2006,-0.571
5/1/06 0:00,5,2006,0.045
6/1/06 0:00,6,2006,0.526
7/1/06 0:00,7,2006,0.716
8/1/06 0:00,8,2006,0.748
9/1/06 0:00,9,2006,0.8
10/1/06 0:00,10,2006,0.939
11/1/06 0:00,11,2006,1.272
12/1/06 0:00,12,2006,0.965
1/1/07 0:00,1,2007,0.985
2/1/07 0:00,2,2007,0.537
3/1/07 0:00,3,2007,0.125
4/1/07 0:00,4,2007,0.026
5/1/07 0:00,5,2007,0.348
6/1/07 0:00,6,2007,-0.155
7/1/07 0:00,7,2007,-0.248
8/1/07 0:00,8,2007,-0.442
9/1/07 0:00,9,2007,-1.197
10/1/07 0:00,10,2007,-1.217
11/1/07 0:00,11,2007,-1.155
12/1/07 0:00,12,2007,-1.178
1/1/08 0:00,1,2008,-1.006
2/1/08 0:00,2,2008,-1.371
3/1/08 0:00,3,2008,-1.552
4/1/08 0:00,4,2008,-0.858
5/1/08 0:00,5,2008,-0.345
6/1/08 0:00,6,2008,0.142
7/1/08 0:00,7,2008,0.088
8/1/08 0:00,8,2008,-0.269
9/1/08 0:00,9,2008,-0.58
10/1/08 0:00,10,2008,-0.699
11/1/08 0:00,11,2008,-0.588
12/1/08 0:00,12,2008,-0.646
1/1/09 0:00,1,2009,-0.714
2/1/09 0:00,2,2009,-0.69
3/1/09 0:00,3,2009,-0.705
4/1/09 0:00,4,2009,-0.106
5/1/09 0:00,5,2009,0.326
6/1/09 0:00,6,2009,0.751
7/1/09 0:00,7,2009,1.06
