UTC,Year,Month,DAY,degrees_north,degrees_east,Upwelling Index,Upwelling Index Anomaly
3/15/75 0:00,1975,3,15,45,235,-1,14
4/15/75 0:00,1975,4,15,45,235,35,26
5/15/75 0:00,1975,5,15,45,235,26,-8
6/15/75 0:00,1975,6,15,45,235,98,50
7/15/75 0:00,1975,7,15,45,235,68,-6
8/15/75 0:00,1975,8,15,45,235,40,-10
9/15/75 0:00,1975,9,15,45,235,38,22
10/15/75 0:00,1975,10,15,45,235,-48,-28
11/15/75 0:00,1975,11,15,45,235,-79,-5
12/15/75 0:00,1975,12,15,45,235,-44,49
1/15/76 0:00,1976,1,15,45,235,-41,53
2/15/76 0:00,1976,2,15,45,235,-30,17
3/15/76 0:00,1976,3,15,45,235,-10,5
4/15/76 0:00,1976,4,15,45,235,0,-9
5/15/76 0:00,1976,5,15,45,235,21,-13
6/15/76 0:00,1976,6,15,45,235,56,8
7/15/76 0:00,1976,7,15,45,235,23,-51
8/15/76 0:00,1976,8,15,45,235,17,-33
9/15/76 0:00,1976,9,15,45,235,14,-2
10/15/76 0:00,1976,10,15,45,235,0,20
11/15/76 0:00,1976,11,15,45,235,-31,43
12/15/76 0:00,1976,12,15,45,235,-47,46
1/15/77 0:00,1977,1,15,45,235,-40,54
2/15/77 0:00,1977,2,15,45,235,-109,-62
3/15/77 0:00,1977,3,15,45,235,8,23
4/15/77 0:00,1977,4,15,45,235,1,-8
5/15/77 0:00,1977,5,15,45,235,9,-25
6/15/77 0:00,1977,6,15,45,235,71,23
7/15/77 0:00,1977,7,15,45,235,73,-1
8/15/77 0:00,1977,8,15,45,235,41,-9
9/15/77 0:00,1977,9,15,45,235,7,-9
10/15/77 0:00,1977,10,15,45,235,-7,13
11/15/77 0:00,1977,11,15,45,235,-67,7
12/15/77 0:00,1977,12,15,45,235,-100,-7
1/15/78 0:00,1978,1,15,45,235,-145,-51
2/15/78 0:00,1978,2,15,45,235,-88,-41
3/15/78 0:00,1978,3,15,45,235,-1,14
4/15/78 0:00,1978,4,15,45,235,-1,-10
5/15/78 0:00,1978,5,15,45,235,28,-6
6/15/78 0:00,1978,6,15,45,235,34,-14
7/15/78 0:00,1978,7,15,45,235,92,18
8/15/78 0:00,1978,8,15,45,235,13,-37
9/15/78 0:00,1978,9,15,45,235,-5,-21
10/15/78 0:00,1978,10,15,45,235,5,25
11/15/78 0:00,1978,11,15,45,235,-4,70
12/15/78 0:00,1978,12,15,45,235,-4,89
1/15/79 0:00,1979,1,15,45,235,-67,27
2/15/79 0:00,1979,2,15,45,235,-103,-56
3/15/79 0:00,1979,3,15,45,235,0,15
4/15/79 0:00,1979,4,15,45,235,6,-3
5/15/79 0:00,1979,5,15,45,235,34,0
6/15/79 0:00,1979,6,15,45,235,86,38
7/15/79 0:00,1979,7,15,45,235,30,-44
8/15/79 0:00,1979,8,15,45,235,31,-19
9/15/79 0:00,1979,9,15,45,235,0,-16
10/15/79 0:00,1979,10,15,45,235,-8,12
11/15/79 0:00,1979,11,15,45,235,-127,-53
12/15/79 0:00,1979,12,15,45,235,-157,-64
1/15/80 0:00,1980,1,15,45,235,-19,75
2/15/80 0:00,1980,2,15,45,235,-155,-108
3/15/80 0:00,1980,3,15,45,235,1,16
4/15/80 0:00,1980,4,15,45,235,-7,-16
5/15/80 0:00,1980,5,15,45,235,52,18
6/15/80 0:00,1980,6,15,45,235,32,-16
7/15/80 0:00,1980,7,15,45,235,103,29
8/15/80 0:00,1980,8,15,45,235,96,46
9/15/80 0:00,1980,9,15,45,235,9,-7
10/15/80 0:00,1980,10,15,45,235,-19,1
11/15/80 0:00,1980,11,15,45,235,-121,-47
12/15/80 0:00,1980,12,15,45,235,-113,-20
1/15/81 0:00,1981,1,15,45,235,-206,-112
2/15/81 0:00,1981,2,15,45,235,-68,-21
3/15/81 0:00,1981,3,15,45,235,-14,1
4/15/81 0:00,1981,4,15,45,235,0,-9
5/15/81 0:00,1981,5,15,45,235,12,-22
6/15/81 0:00,1981,6,15,45,235,8,-40
7/15/81 0:00,1981,7,15,45,235,107,33
8/15/81 0:00,1981,8,15,45,235,40,-10
9/15/81 0:00,1981,9,15,45,235,-1,-17
10/15/81 0:00,1981,10,15,45,235,-5,15
11/15/81 0:00,1981,11,15,45,235,-103,-29
12/15/81 0:00,1981,12,15,45,235,-106,-13
1/15/82 0:00,1982,1,15,45,235,-31,63
2/15/82 0:00,1982,2,15,45,235,-72,-25
3/15/82 0:00,1982,3,15,45,235,-5,10
4/15/82 0:00,1982,4,15,45,235,-2,-11
5/15/82 0:00,1982,5,15,45,235,79,45
6/15/82 0:00,1982,6,15,45,235,59,11
7/15/82 0:00,1982,7,15,45,235,51,-23
8/15/82 0:00,1982,8,15,45,235,38,-12
9/15/82 0:00,1982,9,15,45,235,12,-4
10/15/82 0:00,1982,10,15,45,235,-40,-20
11/15/82 0:00,1982,11,15,45,235,-52,22
12/15/82 0:00,1982,12,15,45,235,-98,-5
1/15/83 0:00,1983,1,15,45,235,-202,-108
2/15/83 0:00,1983,2,15,45,235,-216,-169
3/15/83 0:00,1983,3,15,45,235,-95,-80
4/15/83 0:00,1983,4,15,45,235,3,-6
5/15/83 0:00,1983,5,15,45,235,35,1
6/15/83 0:00,1983,6,15,45,235,19,-29
7/15/83 0:00,1983,7,15,45,235,18,-56
8/15/83 0:00,1983,8,15,45,235,35,-15
9/15/83 0:00,1983,9,15,45,235,25,9
10/15/83 0:00,1983,10,15,45,235,-1,19
11/15/83 0:00,1983,11,15,45,235,-166,-92
12/15/83 0:00,1983,12,15,45,235,-52,41
1/15/84 0:00,1984,1,15,45,235,-29,65
2/15/84 0:00,1984,2,15,45,235,-131,-84
3/15/84 0:00,1984,3,15,45,235,-33,-18
4/15/84 0:00,1984,4,15,45,235,-8,-17
5/15/84 0:00,1984,5,15,45,235,-2,-36
6/15/84 0:00,1984,6,15,45,235,37,-11
7/15/84 0:00,1984,7,15,45,235,121,47
8/15/84 0:00,1984,8,15,45,235,37,-13
9/15/84 0:00,1984,9,15,45,235,3,-13
10/15/84 0:00,1984,10,15,45,235,-21,-1
11/15/84 0:00,1984,11,15,45,235,-138,-64
12/15/84 0:00,1984,12,15,45,235,-14,79
1/15/85 0:00,1985,1,15,45,235,-63,31
2/15/85 0:00,1985,2,15,45,235,-2,45
3/15/85 0:00,1985,3,15,45,235,-5,10
4/15/85 0:00,1985,4,15,45,235,5,-4
5/15/85 0:00,1985,5,15,45,235,15,-19
6/15/85 0:00,1985,6,15,45,235,52,4
7/15/85 0:00,1985,7,15,45,235,83,9
8/15/85 0:00,1985,8,15,45,235,46,-4
9/15/85 0:00,1985,9,15,45,235,12,-4
10/15/85 0:00,1985,10,15,45,235,-9,11
11/15/85 0:00,1985,11,15,45,235,-3,71
12/15/85 0:00,1985,12,15,45,235,-122,-29
1/15/86 0:00,1986,1,15,45,235,-301,-207
2/15/86 0:00,1986,2,15,45,235,-55,-8
3/15/86 0:00,1986,3,15,45,235,-36,-21
4/15/86 0:00,1986,4,15,45,235,13,4
5/15/86 0:00,1986,5,15,45,235,1,-33
6/15/86 0:00,1986,6,15,45,235,25,-23
7/15/86 0:00,1986,7,15,45,235,66,-8
8/15/86 0:00,1986,8,15,45,235,84,34
9/15/86 0:00,1986,9,15,45,235,10,-6
10/15/86 0:00,1986,10,15,45,235,-7,13
11/15/86 0:00,1986,11,15,45,235,-16,58
12/15/86 0:00,1986,12,15,45,235,-149,-56
1/15/87 0:00,1987,1,15,45,235,-147,-53
2/15/87 0:00,1987,2,15,45,235,-35,12
