"","Sample.ID","Year","Up.DFA1","Climate.DFA1.x","SST.DFA1","Dis.DFA1","years.x","Location.2","TP","AA","TP.norm","years.y","PHE.mean","PHE.norm","years","d13C.s","d13C.norm"
"101","NM_1918",1999,-1.16475164488179,-1.02651998631253,0.0639481621701528,0.80480311530492,1998,"Inland",NA,"ASP",NA,1998,12.58214229,0.178986867785977,1998,-11.0942584407013,1.73608004662127
"102","NM_1918",1999,-1.16475164488179,-1.02651998631253,0.0639481621701528,0.80480311530492,1998,"Inland",5.52696185454545,"ALA",-0.345815237360873,1998,12.58214229,0.178986867785977,1998,-11.0942584407013,1.73608004662127
"103","NM_1919",1999,-1.16475164488179,-1.02651998631253,0.0639481621701528,0.80480311530492,1998,"Inland",4.42733781967213,"ASP",0.578919477612121,1998,11.90905669,-0.0865251679477444,1998,-11.3070584407013,1.58937536893069
"104","NM_1919",1999,-1.16475164488179,-1.02651998631253,0.0639481621701528,0.80480311530492,1998,"Inland",4.33249131033058,"Glu",-0.260388905861205,1998,11.90905669,-0.0865251679477444,1998,-11.3070584407013,1.58937536893069
"105","NM_1919",1999,-1.16475164488179,-1.02651998631253,0.0639481621701528,0.80480311530492,1998,"Inland",5.62194827897727,"ALA",-0.260388905861206,1998,11.90905669,-0.0865251679477444,1998,-11.3070584407013,1.58937536893069
"106","NM_1984",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",5.54133019628099,"Glu",1.23447390243563,1991,11.158561,-0.382573157180145,1991,-13.61346020331,-0.000661882988916173
"107","NM_1984",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",3.93863243811475,"ASP",0.276474010382384,1991,11.158561,-0.382573157180145,1991,-13.61346020331,-0.000661882988916173
"108","NM_1984",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",7.28410174715908,"ALA",1.23447390243563,1991,11.158561,-0.382573157180145,1991,-13.61346020331,-0.000661882988916173
"109","NM_1995",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",3.4965178057377,"ASP",0.00286219515689424,1991,13.26905558,0.449953511553795,1991,-13.82206020331,-0.144471073619813
"110","NM_1995",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",5.72643363579545,"ALA",-0.166419680450283,1991,13.26905558,0.449953511553795,1991,-13.82206020331,-0.144471073619813
"111","NM_1995",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",4.4084806607438,"Glu",-0.166419680450282,1991,13.26905558,0.449953511553795,1991,-13.82206020331,-0.144471073619813
"112","NM_2001",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",7.04320288011363,"ALA",1.0178207691356,1991,10.29911985,-0.721596855398961,1991,-14.71136020331,-0.757555988423535
"113","NM_2001",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",4.42218803155737,"ASP",0.575732424366385,1991,10.29911985,-0.721596855398961,1991,-14.71136020331,-0.757555988423535
"114","NM_2001",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",5.36613102024794,"Glu",1.0178207691356,1991,10.29911985,-0.721596855398961,1991,-14.71136020331,-0.757555988423535
"115","NM_2016",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",NA,"ASP",NA,1991,12.03476673,-0.036936336107385,1991,-14.09226020331,-0.330747407792719
"116","NM_2016",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",6.72272017386363,"ALA",0.729593666496583,1991,12.03476673,-0.036936336107385,1991,-14.09226020331,-0.330747407792719
"117","NM_2016",1992,0.00653905452010028,1.40863342065839,1.03060198894061,-1.08737557505853,1991,"Coastal",5.13305268842975,"Glu",0.729593666496584,1991,12.03476673,-0.036936336107385,1991,-14.09226020331,-0.330747407792719
"118","NM_2024",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",4.82715030785124,"Glu",0.351311583573055,1992,10.7354811,-0.549465459625807,1992,-14.7097797664514,-0.756466432596695
"119","NM_2024",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",NA,"ASP",NA,1992,10.7354811,-0.549465459625807,1992,-14.7097797664514,-0.756466432596695
"120","NM_2024",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",6.30210440056818,"ALA",0.351311583573054,1992,10.7354811,-0.549465459625807,1992,-14.7097797664514,-0.756466432596695
"121","NM_2025",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",4.25729802827869,"ASP",0.473686823959424,1992,10.65287416,-0.582051414228213,1992,-15.6042797664514,-1.37313623614098
"122","NM_2025",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",4.7573894070248,"Glu",0.265044524057718,1992,10.65287416,-0.582051414228213,1992,-15.6042797664514,-1.37313623614098
"123","NM_2025",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",6.20618316193181,"ALA",0.265044524057717,1992,10.65287416,-0.582051414228213,1992,-15.6042797664514,-1.37313623614098
"124","NM_2027",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",4.12558938196721,"ASP",0.392176194907361,1992,10.98269079,-0.451948668232554,1992,-14.0506797664514,-0.30208178473081
"125","NM_2027",1993,-0.0633932061460807,1.19358877567503,0.472466589364109,-0.903599455618575,1992,"Coastal",6.16333778465909,"ALA",0.226511402887799,1992,10.98269079,-0.451948668232554,1992,-14.0506797664514,-0.30208178473081
