"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","years","Location.2","Length","Sex","Lat","Long","State","Museum","N.quantity..ug.","d15N","C.quantity..ug.","d13C","Year","d13C.s"
"71","RM_11449",12.02313973,24.53974008,25.14761634,NA,26.28895629,14.9120444,28.44799882,NA,-29.16640616,14.96934991,28.64333333,8.535333333,1982,"Inland",NA,"",48.602875,-123520827,"WA",NA,NA,NA,NA,NA,1983,NA
"72","RM_11768",15.56059184,22.38987241,26.48865601,NA,28.1844172,14.11611234,28.43045367,NA,-29.75189091,17.57848194,27.60233333,11.295,1983,"Inland",NA,"",48.425531,-123.424281,"WA","RM",21.607,18.6133,63.2897,-11.9683,1984,-12.489981542365
"73","RM_12847",13.59197436,23.81823397,32.9689391,NA,26.38508974,14.71579263,28.50993269,NA,-31.42257667,14.4961606,30.19466667,11.59833333,1979,"Inland",NA,"",48.980425,-125.392034,"WA","RM",27.9616,18.8131,83.8712,-12.8222,1980,-13.2904757489752
"74","RM_2361",15.85361616,22.7529063,26.19753606,NA,14.87965815,14.093963,26.31757013,NA,-27.5442181,16.16044916,26.61766667,9.664666667,1937,"Inland",NA,"",48.419694,-123.242538,"WA","RM",36.6028,17.739,113.9363,-14.1979,1938,-14.3485647740719
"75","RM_4934",13.88831314,23.22767746,26.27708575,NA,26.65794037,14.94922054,26.94199091,NA,-22.54262678,20.4240097,27.948,13.549,1942,"Inland",NA,"",48.412071,-123.313368,"WA","RM",42.314,18.8514,140.0507,-13.58,1943,-13.7524413760312
"76","RM_7412",20.69326636,21.29117027,22.74360085,NA,25.61877213,14.73779601,26.75194761,NA,-32.68175704,12.58972954,25.33733333,5.962666667,1971,"Inland",NA,"",48.387819,-123.513779,"WA","RM",26.9365,16.4037,77.061,-12.3778,1972,-12.7551063019606
"77","RM_7714",21.42974329,24.51066644,27.20775607,NA,24.33449771,11.28806572,28.00000007,NA,-25.4820151,13.55043961,25.652,10.12933333,1969,"Inland",NA,"",48.649692,-123.393623,"WA","RM",31.4982,17.795,89.8785,-10.3845,1970,-10.7419721044629
"78","RM_9723",14.93527019,23.40765588,28.29024759,NA,25.56287077,9.853526643,27.12400909,NA,-30.03478797,20.67335827,29.24066667,10.68166667,1977,"Inland",NA,"",48.4198,-123.274305,"WA","RM",25.3137,18.5437,79.9606,-12.9282,1978,-13.3718594792753
"79","RM_9729",10.95524879,23.3864214,24.84461027,NA,26.15873564,11.64369857,27.1379829,NA,-21.48604141,12.48566667,25.05766667,11.014,1969,"Inland",NA,"",49.020474,-123.042875,"WA","RM",44.9737,17.5623,134.3469,-12.0156,1970,-12.3730721044629
"80","RM_9730",21.67453932,21.70182271,22.75160913,NA,25.98426512,11.65878325,26.02046699,NA,-22.42333013,16.878082,23.8055,9.933583333,1969,"Inland",NA,"",49.020474,-123.042875,"WA","RM",25.5985,17.2797,72.8731,-10.6743,1970,-11.0317721044629
"81","RM_9730",21.67453932,21.70182271,22.75160913,NA,25.98426512,11.65878325,26.02046699,NA,-22.42333013,16.878082,23.8055,9.933583333,1969,"Inland",NA,"",49.020474,-123.042875,"WA","RM",3.424,13.66,14.4764,-14.8497,1970,-15.2071721044629
"82","RM_9732",15.10592499,18.19816504,25.38958378,NA,29.49093984,15.21319324,26.98758874,NA,-19.23756357,12.0940077,25.07533333,7.216666667,1969,"Inland",NA,"",49.020474,-123.042875,"WA","RM",25.2612,16.6755,72.0005,-10.845,1970,-11.2024721044629
"83","RM_9733",18.99633518,23.22712127,23.14072334,NA,25.06831173,14.72569534,27.83241045,NA,-23.3952514,14.97929288,26.717625,13.80025,1969,"Inland",NA,"",49.020474,-123.042875,"WA","RM",23.4118,17.2402,67.1679,-11.8219,1970,-12.1793721044629
"84","RM_9733",18.99633518,23.22712127,23.14072334,NA,25.06831173,14.72569534,27.83241045,NA,-23.3952514,14.97929288,26.717625,13.80025,1969,"Inland",NA,"",49.020474,-123.042875,"WA","RM",2.7226,14.2795,12.1999,-16.2413,1970,-16.5987721044629
"85","RM_9802",15.45369748,22.1928398,24.70284545,NA,24.17738203,12.36624135,26.25033616,NA,-25.8006455,21.24276523,25.79766667,10.30333333,1970,"Inland",NA,"",49.020474,-123.042875,"WA","RM",23.2725,17.0746,67.5885,-11.7358,1971,-12.1030553305113
"86","RM_9804",10.46582479,21.7174391,24.71839637,NA,25.31019658,10.92904159,27.81211645,NA,-25.98269923,16.2707056,24.22466667,9.675333333,1969,"Inland",NA,"",49.020474,-123.042875,"WA","RM",43.0499,17.43,134.0166,-12.1834,1970,-12.5408721044629
"87","RM_9874",16.2003634,24.40668983,25.40496248,NA,26.64985036,11.51381038,29.50999256,NA,-16.82083519,14.73366667,26.58366667,9.2155,1970,"Inland",NA,"",49.020474,-123.042875,"WA","RM",43.6757,17.4517,127.1063,-12.973,1971,-13.3402553305113
"88","SI_253041",14.06892536,20.89324645,27.18672824,NA,26.23656123,16.63569812,28.79415194,NA,-24.80188492,12.36495619,24.89833333,8.11,1928,"Inland",NA,"M",48.473108,-122.468463,"WA","SI",24.5646,18.021,71.9643,-6.6578,1929,-6.77596209043339
"89","SI_253042",14.27828165,18.68611062,21.75782653,NA,22.83488388,8.925944569,26.55679496,NA,-26.01126855,12.52795627,25.56877778,9.506777778,1928,"Inland",NA,"F",48.473108,-122.468463,"WA","SI",29.6369,17.7126,85.6968,-10.5404,1929,-10.6585620904334
"90","SI_253043",12.47650963,NA,NA,NA,NA,17.53223865,28.88655924,NA,-6.611066426,19.58166667,7.183,NA,1928,"Inland",NA,"F",48.473108,-122.468463,"WA","SI",39.3264,17.8662,110.2441,-11.2747,1929,-11.3928620904334
"91","SI_274144",32.0102305,25.84248335,26.2555719,NA,25.66628786,15.84088081,28.19665264,NA,-43.67725385,16.48415098,29.664,13.477,1942,"Coastal",NA,"M",46.619545,-123.95812,"WA","SI",23.9366,19.3902,74.4733,-13.5214,1943,-13.6938413760312
"92","SI_274146",14.08519111,15.50832028,18.98265125,NA,20.40453924,7.499578292,17.20994543,NA,-24.01099657,8.878565243,27.253,8.271666667,1942,"Coastal",NA,"F",46.619545,-123.95812,"WA","SI",45.1221,17.4496,128.9884,-13.3494,1943,-13.5218413760312
"93","SI_274152",10.5677297,24.07654808,28.68744658,NA,25.89380021,11.61622728,30.3593547,NA,-28.82899704,19.77665934,25.58833333,9.014666667,1942,"Inland",NA,"M",47.095908,-122.686415,"WA","SI",40.1077,17.4284,123.5741,-11.9956,1943,-12.1680413760312
"94","SI_274153",12.99326428,24.64879899,26.84317969,NA,24.69745826,12.57958677,27.46594686,NA,-26.2119143,12.00533333,26.761,10.88966667,1942,"Inland",NA,"F",47.095908,-122.686415,"WA","SI",39.963,18.4356,113.6882,-10.5314,1943,-10.7038413760312
"95","SI_274154",13.92857123,25.91871755,29.43808148,NA,26.60924833,9.838522647,28.31712193,NA,-23.90604011,14.16300622,23.684,12.3665,1942,"Inland",NA,"M",47.095908,-122.686415,"WA","SI",34.5493,18.3495,98.5093,-9.8041,1943,-9.97654137603122
"96","SI_274156",13.63278419,23.36978526,26.54137286,NA,23.98296368,13.94583067,27.63340919,NA,-19.84617229,18.30140142,25.04733333,8.941333333,1942,"Coastal",NA,"F",46.619545,-123.95812,"WA","SI",43.7584,17.3823,127.7107,-12.1703,1943,-12.3427413760312
"97","SI_276058",13.85736369,19.73631228,24.89545996,NA,24.12747092,10.47712633,23.9203968,NA,-28.7261659,15.76268861,28.1575,9.999,1942,"Coastal",NA,"F",46.490551,-124.0598,"WA","SI",30.2769,18.8113,89.0584,-11.8847,1943,-12.0571413760312
"98","SI_276059",13.73065677,18.76735291,23.43735647,NA,23.87007122,6.014049229,21.73708185,NA,-24.85705759,11.4235688,18.60833333,10.849,1942,"Coastal",NA,"F",46.619545,-123.95812,"WA","SI",42.7058,18.8196,121.3677,-13.789,1943,-13.9614413760312
"99","SM_15182",12.33999319,23.15328166,25.91909483,NA,25.04502158,9.725371948,25.6215866,NA,-23.61819932,13.33513629,29.01866667,10.91933333,1970,"Inland",NA,"M",47.228131,-122.677532,"WA","SM",16.8438,17.6128,52.6257,-11.9991,1971,-12.3663553305113
