,Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,TP.class,TP.ger,X,Sex,years,County,Location.2,Lat,Long,Length,Weight,Age,Date,Month
12,BM_34991,15.51428705,24.80241731,25.59763424,NA,23.46189508,9.793436856,27.51266581,NA,-22.56736297,7.684477019,27.646,10.3395,2.884109073,4.330053245,NA,M,1987,Cowlitz,Coastal,46.185552,-123.187834,142,NA,NA,2/6/87,2
10,BM_34989,14.54837865,22.95908162,22.74430326,NA,25.87286813,11.16191237,29.17720619,NA,-26.61213359,20.11066667,28.43166667,11.00133333,2.923064976,4.398905538,NA,F,1987,Cowlitz,Coastal,46.185552,-123.187834,119,NA,NA,1/30/87,1
14,BM_35001,9.453697426,23.42481033,25.40885874,NA,24.21711218,10.87819771,28.26988212,NA,-16.39075765,14.43416667,27.23966667,9.769916667,2.841011107,4.253880095,NA,F,1988,Wahkiakum,Coastal,46.2706,-123.4558,NA,NA,NA,2/17/88,2
18,BM_36047,14.86472788,21.98424055,28.25054296,NA,24.94667053,12.05071735,27.56863402,NA,-25.93844029,21.08433333,28.58533333,8.454333333,2.594462719,3.818120155,NA,M,1989,Clallam,Inland,48.26,-124.68139,122,NA,NA,9/19/89,9
17,BM_36045,13.46425,22.39358333,22.61991667,NA,24.793375,10.8456686,26.41679167,NA,-35.38148604,11.74627083,26.954,7.466333333,2.601463561,3.830493737,1,,1989,Clallam,Inland,48.3683,-124.6236,NA,NA,NA,1/1/89,1
44,NM_1995,12.39021793,25.18517466,22.64190475,NA,23.77120336,13.26905558,27.95266015,NA,-5.835747928,15.14351517,30.85666667,10.19066667,2.484684812,3.624094087,1,F,1991,Pacific County,Coastal,NA,NA,170,NA,NA,3/18/91,3
46,NM_2016,NA,24.13070574,27.55959858,NA,NA,12.03476673,29.22332031,NA,-27.48700947,17.66229544,27.37266667,11.93416667,2.814283366,4.206640368,1,M,1991,Pacific County,Coastal,46.398712,-124.062234,159,NA,NA,10/25/91,10
45,NM_2001,13.21372114,21.27546016,24.72562541,NA,24.02788956,10.29911985,28.29345852,NA,-21.6036817,20.79241881,16.502,9.665666667,2.920307721,4.394032251,1,F,1991,Clatsop County,Coastal,46.1331,-123.5713,155,NA,NA,4/24/91,4
43,NM_1984,14.42042447,22.70808279,22.3746653,NA,23.20179407,11.158561,29.75858825,NA,-28.96395404,17.7660232,24.83833333,34.786,3.000003586,4.534890059,1,M,1991,Clatsop County,Coastal,46.23055556,-123.866666,148,NA,NA,2/20/91,2
51,NM_2032,13.00539347,24.02509236,25.12977435,NA,23.85571066,11.26091541,26.69066548,NA,-15.91735568,15.80330958,27.229,10.144,2.582861852,3.797616296,1,M,1992,Clatsop County,Coastal,46.265153,-123.966564,148,NA,NA,10/9/92,10
49,NM_2027,13.1606361,23.87848372,19.69618014,NA,23.67760235,10.98269079,26.76479722,NA,-12.91114002,15.26417126,28.513,9.097,2.629224529,3.879559633,1,M,1992,Pacific County,Coastal,46.625299,-123.957213,168,NA,NA,8/14/92,8
48,NM_2025,7.287780522,19.42858615,19.98022396,NA,23.80688443,10.65287416,26.54270611,NA,-19.90632046,15.89787074,22.41333333,5.103,2.643398941,3.904612081,1,F,1992,Grays Harbor County,Coastal,46.794664,-124.098201,157,NA,NA,7/1/92,7
47,NM_2024,NA,22.35456077,24.32785191,NA,NA,10.7354811,26.86648645,NA,-26.80441624,15.74841065,26.86333333,42.17933333,2.675132283,3.960698918,1,F,1992,Clatsop County,Coastal,NA,NA,156,NA,NA,5/12/92,5
50,NM_2028,13.16313595,21.703254,24.96493946,NA,24.51272247,8.865713588,27.26719575,NA,-27.00534665,19.93181039,19.19166667,9.511333333,2.973879232,4.488716782,1,M,1992,Pacific County,Coastal,46.745916,-124.095354,165,NA,NA,10/2/92,10
25,BM_80774,21.6492238,23.08981143,26.0357268,NA,22.42353823,11.29791967,26.26323411,NA,NA,NA,NA,8.536666667,2.521751899,3.689608008,NA,F,1994,Columbia,Coastal,46.2693,-124.0801,NA,NA,NA,2/8/94,2
