"","Year","Col.Dis.An","UpInAn.45.Winter","UpInAn.45.Spring","UpInAn.45.Summer","UpInAn.45.Autumn","UpInAn.45.Annual","TUMI.45","LUSI.45","MEI","ONI","PDO","WA.SST.Wi","WA.SST.Su","WA.SST.Sp","WA.SST.Au","WA.SST.An","Col.Dis.low","Col.Dis.high","NOI","Fras.Dis.high","Fras.Dis.low","Fras.Dis.an","Dis.Total","NPGO"
"90",1968,-0.0979038512340473,-3.83586164446258,2.77258872223978,0,-22.6666666666667,-2.56494935746154,0.553317562669896,0.169321313953186,-0.3195,0.135,-0.403333333333333,-0.0937279112475409,0.595807049166291,0.119429844135835,-0.152343133027285,0.117291462256825,-0.00882507897012985,-0.311372469117016,0.148583333333333,0.143665601760985,0.30570939185257,0.209554474941756,-0.0518658172129189,-0.850616666666667
"91",1969,0.0914097080469176,1.67397643357167,-2.53897387105828,1.79175946922805,-12.3333333333333,-1.22866541691631,0.223425199143456,-0.142709787508881,0.5425,0.745,-0.0983333333333333,-0.690394565198547,0.20980673381799,0.249429958576748,0.431323668425405,0.0500414489053984,-0.125261401552013,0.161199267146559,-1.74916666666667,-0.0533399709840516,0.126342246833103,0.0204360020118468,0.131193521002546,-0.387633333333333
"92",1970,-0.113139396122458,-1.38629436111989,1.46633706879343,1.6094379124341,6.66666666666667,1.09861228866811,0.553539679204922,0.25804942956187,-0.529916666666667,-0.32,-0.3975,0.782938793566103,-0.976859754829476,-0.394236626709683,-0.442009944652446,-0.257541883156376,-0.0901395214172087,-0.192356904401798,0.0158333333333333,-0.218391451593543,-0.210589492722148,-0.218217901997827,-0.0736202426821961,0.06105
"93",1971,0.206790995823892,2.97892515523761,-1.54044504094715,-2.66258782702545,40.3333333333333,2.32727770558442,0.0363059358070004,0.132571771744445,-1.39758333333333,-0.94,-1.29083333333333,-0.623727803164451,0.466473235181091,-0.510569952413656,-0.785676339204025,-0.363375214900261,0.00475569909904117,0.289110133577799,2.66933333333333,0.0858945325737679,-0.00316305750051349,0.0477447234182691,0.245368692457307,0.381983333333333
"94",1972,0.275970876942385,1.09861228866811,0,-1.46633706879343,29.6666666666667,1.92181259747625,0.199626893506297,0.204768062948934,0.854166666666667,0.9275,-0.921666666666667,-1.05372810834023,0.0724731817753579,-0.133903565491448,-0.815676707958119,-0.482708800003611,0.111904498093136,0.31388590476949,-0.2475,0.332454805376381,0.0685636927261779,0.230710998588604,0.315967811382645,-0.6593
"95",1973,-0.314116736584097,-1.09861228866811,0.287682072451781,2.63905732961526,3,1.54044504094715,0.391071466469675,0.083246705181943,-0.446416666666667,-0.6175,-0.804166666666667,-0.00706116828692771,-0.373526599515376,-0.0105699524136629,-0.425343214407491,-0.204125233655864,-0.117609804479743,-0.758464616737257,0.4115,-0.0812903650923964,-0.0738931667771805,-0.0812816450195424,-0.269231921198562,0.126591666666667
"96",1974,0.246401195098599,2.36712361413162,1.73460105538811,-1.67397643357167,24,2.16905370036952,0.284023920204652,0.169321313953186,-1.16691666666667,-0.886666666666667,-0.336666666666667,-0.610394641492494,0.243140194307855,-0.220569990560602,0.224657039905647,-0.0907918494598992,0.119565591860709,0.214552436872779,1.62275,0.231167276522038,0.059215141972393,0.161983416606969,0.285895375397422,-0.00930833333333334
"97",1975,0.0353186687115148,2.70805020110221,3.120895416508,0.693147180559945,5.33333333333333,2.42036812865043,0.426695273655861,0.153736582936488,-1.28433333333333,-1.0525,-1.10166666666667,-0.453727726870504,-0.386859920133043,-0.693903349325268,-0.709009825125236,-0.560875205363514,-0.0647931913068778,-0.0847128332810012,2.15716666666667,-0.0644265590403919,0.0579138115400486,-0.0160103469923314,0.0754142555831798,0.7985
"98",1976,0.146457802372787,3.2188758248682,-1.54044504094715,-3.3557350075854,36.3333333333333,1.94591014905531,-0.0909468144573999,0.179577814120375,-0.103583333333333,-0.0491666666666667,0.00833333333333333,-0.610394641492494,0.0691397721480573,-0.480569901551013,0.537656765247471,-0.121042001411995,0.314184034055572,-0.00645048760012124,0.7355,0.23860532734304,0.416453470276943,0.311557602078928,0.189731791079414,1.86320833333333
"99",1977,-0.462302701742292,1.6094379124341,-1.20397280432594,-1.84582669049833,4.33333333333333,2.484906649788,0.200421193103148,0.290534884706359,0.617,0.511666666666667,0.230833333333333,0.589605485664084,-0.263526624946643,-0.273903273031312,-0.215676644379828,-0.040875264173426,-0.287658694516974,-0.930792307682202,-0.0620833333333333,-0.0858358274640718,0.0342696255022119,-0.0383916196280953,-0.413463718570123,1.24926666666667
"100",1978,-0.0643301195337749,-3.25809653802148,-2.30258509299405,-2.59026716544583,61.3333333333333,1.09861228866811,-0.108954791655417,-0.171283159952937,0.11525,-0.0983333333333333,0.235833333333333,0.676272228624693,0.296473476778557,0.519430098448995,0.0543234954924117,0.386624824836163,0.0181545081566821,-0.235996775100681,-0.654083333333333,-0.167683504040696,-0.0124338284732186,-0.104812142429736,-0.0239972702975244,0.504475
"101",1979,-0.217068288258799,-1.54044504094715,2.4567357728213,-3.27083556379891,-35,-2.60884355101876,-0.0557913085239257,-0.0296326428899105,0.521333333333333,0.250833333333333,0.335,-0.673727993899313,0.833140029004356,-0.0205701812954686,0.857990246082405,0.249208024972994,-0.195151489090708,-0.432027020404728,-1.44816666666667,-0.0938404442466858,-0.245150375755292,-0.155446491612613,-0.175111521250754,-0.737183333333333
"102",1980,-0.141430689730878,-1.73460105538811,-1.54044504094715,3.120895416508,-22,-0.882389180198474,0.318165293406983,-0.0296326428899105,0.554583333333333,0.253333333333333,0.6025,0.506272152330746,-0.280859973538776,0.186096765115641,0.387656510934338,0.199791363710487,-0.151602343826658,-0.279045833652038,-1.08591666666667,-0.192082587403492,-0.00608951318936768,-0.115465996227011,-0.10008255057201,-0.7491
"103",1981,0.00938187790253764,-3.78418963391826,-3.16406758837321,0.693147180559945,-9,-2.92673940206704,-0.763400178765456,-0.655885588619825,0.0744166666666667,-0.268333333333333,0.918333333333333,1.39293908602623,0.48980678468059,0.522763190184827,0.917656879688405,0.830791485145014,0.0451729424578939,-0.187115115437338,-0.717416666666667,-0.0621993866275687,0.140296585703199,0.0218920478918534,0.0503943322756619,-0.221833333333333
"104",1982,0.216580066815103,2.77258872223978,2.70805020110221,-2.56494935746154,-1,1.44691898293633,-0.324360003317175,-0.0296326428899105,1.09091666666667,0.99,0.114166666666667,0.382938857144385,0.353140168876589,-0.123903336609578,0.564656556710672,0.294208061530517,0.0808997663569198,0.0995535041595037,-2.03175,0.152678731726736,0.201164153277311,0.169621950722131,0.256597880219765,-0.686708333333333
"105",1983,0.160522515640778,-4.77912349311153,-2.42774823594805,-3.02852209637698,-10.6666666666667,-3.69924224114948,-0.865934107942831,-0.0233630298763154,1.60783333333333,0.48,1.64833333333333,1.60960562553633,1.14647354035689,1.42276344449796,0.684656760161205,1.2158748426381,0.0582903190088349,-0.0346650050564712,-3.90625,-0.0961392958337957,0.0161056548745417,-0.0521040084970164,0.198502930371703,-0.09205
"106",1984,0.120584152074587,-2.51230562397611,-3.06027079469156,1.94591014905531,4.66666666666667,-1.70474809223843,-0.508989487967076,-0.23872444074847,-0.118416666666667,-0.505833333333333,0.8375,0.679605638251973,0.0958067312748572,-0.0972366953742689,-0.0256767461050682,0.163124732011873,0.0140508860861654,0.0565458237779026,1.03233333333333,-0.0694559074453949,0.127625034032606,0.0121753969174101,0.159862927656247,0.620758333333333
"107",1985,-0.104765962172115,3.3557350075854,-1.84582669049833,-1.09861228866811,17.6666666666667,2.31088389580874,-0.123443605477567,-0.0359418120831752,-0.38925,-0.598333333333333,0.449166666666667,-0.547061130139953,-0.000193304328977462,-0.224236550415744,-0.919009863272219,-0.422625212039224,-0.148694836781145,-0.353385296219233,1.0065,0.0143289815098768,-0.178465320811219,-0.0624059368781289,-0.0632101113270895,-0.393916666666667
"108",1986,0.00747148791308128,-4.3652195163575,-2.85263142991332,1.89711998488588,5,-3.04848283893952,-0.192375387739462,-0.171283159952937,0.445583333333333,0.253333333333333,1.23916666666667,0.432938729987814,-0.550193177172444,0.366096752399995,-0.148676573172125,0.0250414330108093,-0.0433343211233179,-0.13652786032967,-0.817416666666667,0.0255995926173274,-0.106270397276788,-0.0287792418664292,0.0478013426566832,-0.73285
"109",1987,-0.269902355140445,-3.06027079469156,-2.15948424935337,1.29928298413026,10.3333333333333,-1.38629436111989,-0.102401844056585,0.174462713453605,1.66433333333333,1.27666666666667,1.82083333333333,0.602939124173199,-0.63352682839721,0.299430149311595,0.454656582142006,0.180874756807397,-0.119664097205124,-0.538148479297647,-1.70891666666667,-0.100175046482924,-0.175537328967346,-0.13304200426683,-0.226700636008832,0.429166666666667
"110",1988,-0.301499618609579,1.67397643357167,-3.32022831912849,1.54044504094715,25,0.606135803570315,-0.533870159686494,-0.380037973815048,-0.474666666666667,-0.810833333333333,0.531666666666667,0.296272114183781,-0.68085990996051,0.132763164753518,0.174323698942951,-0.0193752330200656,-0.161049313367979,-0.608521539983416,1.29225,-0.0483908269804711,-0.176817270630472,-0.101480237243377,-0.257198923691218,1.32363333333333
"111",1989,-0.182723738615,3.09104245335832,-1.94591014905531,0.405465108108164,50.6666666666667,2.78809290877575,0.136514282816211,0.158958526917639,-0.52475,-0.605,-0.179166666666667,-0.617060983909891,0.57314043590539,0.632763482644961,0.224657039905672,0.203374993636533,-0.179840816994474,-0.324031808630608,1.26641666666667,-0.139049199244589,-0.0812659376136917,-0.118217029598901,-0.140754556544326,0.612241666666667
"112",1990,-0.00731240288847701,3.27083556379891,-2.92673940206704,1.99243016469021,45,2.70805020110221,-0.191637926595222,0.209730852291063,0.420666666666667,0.315,-0.355833333333333,-0.0703946796394632,1.15980686097456,0.362763024881261,-0.0423434763500214,0.352457932466583,-0.0417025557354123,-0.193408567440754,0.579416666666667,0.187507025968857,-0.00910191264036087,0.109400926650046,0.0353009125608672,-0.20155
"113",1991,0.0562044745558072,2.63905732961526,2.15948424935337,2.07944154167984,31.6666666666667,2.74620196706659,-0.0685486439603,0.229339323679439,0.797916666666667,0.646666666666667,-0.419166666666667,-0.253727758659647,-0.350193367907309,-0.277236682658605,-0.182009715770585,-0.265791881249037,0.0714805444404281,-0.110163755968006,-0.542416666666667,0.124930760900403,0.111710661161904,0.116595799539327,0.0978884565489775,-0.498916666666667
"114",1992,-0.290991725428382,-3.8286413964891,2.12026353620009,1.89711998488588,36,0.22314355131421,-0.0554473175387731,-0.114930223401806,1.30283333333333,0.630833333333333,0.928333333333333,1.32293875541911,0.175806654980891,1.19276326647876,0.424323381051515,0.778958014482569,-0.247203739824661,-0.521211402846166,-2.70941666666667,-0.0858358274640718,0.0218221051911502,-0.0437828163251961,-0.245863707093129,-1.09491666666667
"115",1993,-0.191757438466215,1.67397643357167,-3.80666248977032,2.33537491581704,29.3333333333333,0,-0.267866374934888,-0.0171324801256789,1.112,0.3125,1.41666666666667,-0.000394349032374564,0.206473324190723,1.25609645993986,-0.145676313772706,0.329124780331377,-0.154031740709332,-0.291735261311983,-2.63266666666667,-0.170778523533924,-0.298461469775219,-0.223589169041317,-0.151171151182981,-1.90199166666667
"116",1994,-0.342693931573679,2.90872089656436,-2.51230562397611,2.36712361413162,1,1.48538526376412,-0.369231937252858,0.0719471499280093,0.75275,0.475,-0.151666666666667,0.472939009732279,0.74980637777959,0.692763584370196,-0.412009893789795,0.375874769523067,-0.384231138531586,-0.514479820981588,-0.51425,0.080122510776647,-0.247111352950023,-0.042941555678933,-0.296523485594109,-1.21160833333333
"117",1995,-0.000520518014308635,-4.12174353641022,1.29928298413026,-2.59026716544583,-17.3333333333333,-3.0985896589937,-0.189371162116549,0.00740862879043824,0.22525,-0.16,0.6425,0.72627241935956,1.15647345134729,0.842763520791928,0.851323426827872,0.894208204581663,-0.0354720059847757,-0.242882906154005,-1.99983333333333,-0.162751311551377,-0.00377844213531731,-0.0982277565015561,0.0390008575224705,-1.0392
"118",1996,0.272531111950105,2.33537491581704,-2.6149597780362,3.61091791264422,25.6666666666667,2.69687690050408,0.164338545651971,-0.208187716888388,-0.298416666666667,-0.46,0.640833333333333,0.862939035163595,-0.0641934340287111,0.562763469929294,-0.0256767461050682,0.333958081239777,0.126479654896103,0.120046621663828,0.0686666666666666,0.0591614703766989,0.124651857979325,0.0832332076842643,0.310709235870815,-0.972841666666667
