Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,years,Location.2,Length,Sex,Lat,Long,State
BM_32052,13.82677456,22.14576263,22.85177626,NA,22.45310278,9.919833049,27.23310108,NA,-18.20001079,18.13917547,23.572,10.878,1977,Inland,92,M,48.2933,-122.5985228,WA
BM_80771,NA,21.95654997,19.64423783,NA,11.34849427,10.220875,24.99494172,NA,-29.471875,15.20503007,26.891,10.83833333,2004,Inland,NA,M,48.1742,-122.5281,WA
BM_81078,13.66910567,20.46467612,19.95070017,NA,23.2397805,10.25948625,24.65756486,NA,-24.73858033,20.43976503,18.77566667,8.845,2008,Inland,NA,,48.0946,-122.9153,WA
NM_2235,13.59101517,23.94611664,19.93516563,NA,22.39640238,10.2722802,26.67402842,NA,-4.757630255,14.41365349,26.377,9.353,2013,Inland,NA,F,47.720204,-122.79073,WA
SM_25895,16.04674945,24.4914643,26.69773153,NA,15.03433873,10.32963181,26.72878968,NA,-19.69867133,25.26133333,25.75816667,12.901,1977,Inland,NA,F,48.322464,-122.824309,WA
BM_39398,18.60311082,20.91485137,25.39129124,NA,24.29569459,10.52203436,25.20052534,NA,-24.57307002,20.24481658,20.90433333,9.402333333,1980,Inland,92,F,47.8628,-122.5133,WA
SM_15204,28.83122509,22.95442612,28.50791409,NA,15.16807775,10.73133333,29.43034407,NA,-3.700708333,21.05633333,27.5805,12.012,1971,Inland,NA,M,47.228131,-122.677532,WA
BM_80782,12.86621671,21.97383333,19.47616667,NA,21.714375,10.74410739,28.85783333,NA,-9.285160223,15.871,24.71133333,11.056,2007,Inland,NA,M,47.8103,-122.377,WA
BM_51206,13.61477149,22.44895314,20.38706913,NA,25.33427482,10.83458935,28.19609488,NA,-32.9836177,18.10276203,25.212,8.280777778,1980,Inland,NA,M,47.3192,-122.4253,WA
BM_36045,13.46425,22.39358333,22.61991667,NA,24.793375,10.8456686,26.41679167,NA,-35.38148604,11.74627083,26.954,7.466333333,1989,Inland,NA,,48.3683,-124.6236,WA
RM_9804,10.46582479,21.7174391,24.71839637,NA,25.31019658,10.92904159,27.81211645,NA,-25.98269923,16.2707056,24.22466667,9.675333333,1969,Inland,NA,,49.020474,-123.042875,WA
SM_16044,13.83679575,20.84683376,26.92375172,NA,-38.18680412,11.14666495,26.51416452,NA,-20.53011985,13.38,24.87908333,25.98866667,1977,Inland,NA,F,47.216785,-122.660398,WA
RM_7714,21.42974329,24.51066644,27.20775607,NA,24.33449771,11.28806572,28.00000007,NA,-25.4820151,13.55043961,25.652,10.12933333,1969,Inland,NA,,48.649692,-123.393623,WA
BM_80772,12.70969713,21.21378115,17.98875427,NA,22.64773557,11.41245017,27.21916125,NA,-21.22917955,17.68381701,25.19966667,8.266666667,2007,Inland,NA,F,48.5369,-122.5283,WA
RM_9874,16.2003634,24.40668983,25.40496248,NA,26.64985036,11.51381038,29.50999256,NA,-16.82083519,14.73366667,26.58366667,9.2155,1970,Inland,NA,,49.020474,-123.042875,WA
SI_274152,10.5677297,24.07654808,28.68744658,NA,25.89380021,11.61622728,30.3593547,NA,-28.82899704,19.77665934,25.58833333,9.014666667,1942,Inland,NA,M,47.095908,-122.686415,WA
NM_2234,15.54098714,24.09619775,23.48808933,NA,22.80199658,11.6237319,26.04870733,NA,-30.94316363,14.83303763,27.102,9.373666667,2013,Inland,NA,F,47.579966,-122.409659,WA
RM_9729,10.95524879,23.3864214,24.84461027,NA,26.15873564,11.64369857,27.1379829,NA,-21.48604141,12.48566667,25.05766667,11.014,1969,Inland,NA,,49.020474,-123.042875,WA
RM_9730,21.67453932,21.70182271,22.75160913,NA,25.98426512,11.65878325,26.02046699,NA,-22.42333013,16.878082,23.8055,9.933583333,1969,Inland,NA,,49.020474,-123.042875,WA
BM_80776,13.38510184,21.88332889,21.2483434,NA,21.01889518,11.80008333,26.13492101,NA,-31.4925,18.97241667,25.71966667,10.94433333,2006,Inland,NA,F,47.5958,-122.5058,WA
NM_1919,10.58291244,23.64536471,21.88845367,NA,25.65577709,11.90905669,26.32995522,NA,-14.98416015,15.94113159,27.53333333,11.63666667,1998,Inland,154,M,47.2179,-122.6599,WA
BM_36044,13.05177491,22.13909708,20.8484957,NA,24.86140421,11.92477942,26.39671177,NA,-36.26643406,21.83156207,28.7645,10.702,1979,Inland,105,F,47.8628,-122.5133,WA
SM_16043,14.08771607,23.23886727,28.47074399,NA,16.27996778,11.92696435,28.08811856,NA,-19.76595833,20.407,25.92716667,9.9605,1972,Inland,NA,F,47.216785,-122.660398,WA
SM_25892,9.383446735,23.42323411,25.28986254,NA,13.81449699,11.94923239,28.59998625,NA,-9.870087199,18.83566667,28.421,10.81433333,1977,Inland,NA,F,48.322464,-122.824309,WA
BM_82685,13.13634542,22.70120162,19.27534526,NA,26.25033796,11.95434708,27.51280504,NA,-28.63511426,22.26661082,28.64033333,13.79638889,2012,Inland,99,,47.097241,-122.705579,WA
BM_36047,14.86472788,21.98424055,28.25054296,NA,24.94667053,12.05071735,27.56863402,NA,-25.93844029,21.08433333,28.58533333,8.454333333,1989,Inland,122,M,48.26,-124.68139,WA
